Generation Length,Requests,Mean RTT (ms),Std RTT (ms),95% Upper Bound RTT (ms),99% Upper Bound RTT (ms),Mean Inference (ms),Notes Generated
1,200.0,54.3,39.6,68.5,82.5,45.7,0.1
2,200.0,67.1,27.4,88.6,94.5,58.4,0.1
3,200.0,93.4,44.1,112.8,138.0,84.5,0.2
4,200.0,119.1,45.5,148.6,169.4,109.2,0.2
5,200.0,141.4,47.3,171.3,207.2,131.7,0.4
6,200.0,169.2,40.8,209.8,253.3,159.4,0.6
7,200.0,189.5,31.4,231.4,256.3,179.9,0.5
8,200.0,217.1,50.6,249.3,310.4,206.9,0.6
10,200.0,263.0,61.1,316.0,363.8,253.0,0.5
12,200.0,312.6,45.3,376.3,446.2,301.7,0.8
14,200.0,372.2,49.2,435.3,486.9,362.0,1.4
16,200.0,418.4,63.2,499.4,577.3,407.3,1.1
