Generation Length,Mean (ms),Std (ms),Sample Size,60% Upper Bound (ms),70% Upper Bound (ms),80% Upper Bound (ms),85% Upper Bound (ms),90% Upper Bound (ms),95% Upper Bound (ms),98% Upper Bound (ms),99% Upper Bound (ms),99.5% Upper Bound (ms),99.9% Upper Bound (ms),100% Upper Bound (ms)
1,88.92,37.67,200,85.70,86.90,88.66,89.77,92.60,99.80,103.82,133.45,455.46,455.46,455.46
2,105.13,43.39,200,108.44,111.92,115.36,118.32,121.24,125.76,140.04,144.88,505.50,505.50,505.50
3,119.46,43.00,200,113.02,116.38,123.21,127.98,136.56,142.92,149.46,184.67,525.96,525.96,525.96
4,143.43,50.47,200,135.34,139.70,149.02,152.49,163.59,178.33,185.51,197.85,619.78,619.78,619.78
5,163.25,41.15,200,156.50,159.38,168.85,173.17,177.62,184.39,202.01,264.38,540.45,540.45,540.45
6,189.10,49.78,200,180.80,185.48,196.63,202.17,207.94,215.17,235.94,242.61,659.89,659.89,659.89
7,215.13,31.84,200,210.73,217.54,226.22,232.02,235.58,247.23,260.24,267.91,488.75,488.75,488.75
8,260.16,59.82,200,245.10,264.83,279.24,291.13,303.60,348.88,423.18,473.39,664.44,664.44,664.44
10,301.22,51.33,200,292.09,301.91,316.29,333.07,349.41,387.70,408.04,424.20,673.64,673.64,673.64
12,352.91,56.77,200,348.34,360.96,382.08,394.47,412.98,422.25,445.86,509.86,756.88,756.88,756.88
14,403.54,52.43,200,397.50,417.81,434.97,448.02,473.08,508.29,552.63,556.22,624.82,624.82,624.82
16,439.03,82.33,200,429.92,440.34,455.18,468.20,473.30,512.56,572.56,578.64,1169.58,1169.58,1169.58
