Generation Length,Requests,Mean RTT (ms),Std RTT (ms),95% Upper Bound RTT (ms),99% Upper Bound RTT (ms),Mean Inference (ms),Notes Generated
1,200.0,88.9,37.7,99.8,133.4,57.5,0.0
2,200.0,105.1,43.4,125.8,144.9,74.0,0.1
3,200.0,119.5,43.0,142.9,184.7,87.3,0.4
4,200.0,143.4,50.5,178.3,197.9,108.9,0.2
5,200.0,163.2,41.1,184.4,264.4,131.8,0.4
6,200.0,189.1,49.8,215.2,242.6,155.5,0.4
7,200.0,215.1,31.8,247.2,267.9,181.0,0.4
8,200.0,260.2,59.8,348.9,473.4,207.7,0.3
10,200.0,301.2,51.3,387.7,424.2,258.5,0.6
12,200.0,352.9,56.8,422.3,509.9,305.2,0.8
14,200.0,403.5,52.4,508.3,556.2,349.9,1.1
16,200.0,439.0,82.3,512.6,578.6,401.2,1.1
