request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time
78926.616758336,78927.889275607,78926.616824673,78926.624988842,78927.883783236,78927.88378347,1.964501292037312
78928.655463342,78929.866550613,78928.655521618,78928.662219807,78929.858733087,78929.858733445,1.8857829170301557
78930.818401838,78932.344900983,78930.81845903,78930.827484725,78932.33240495,78932.332405217,2.1489142919890583
78954.240467343,78955.427406258,78954.240526791,78954.248660272,78955.416501794,78955.416502074,1.8012628329452127
78956.446347094,78957.917899959,78956.446434514,78956.453608345,78957.905549909,78957.905550195,2.161878874991089
78958.528690346,78959.794697664,78958.528798062,78958.535886778,78959.783145354,78959.783145607,1.8738143339869566
78960.641668843,78961.947656135,78960.641762391,78960.649825769,78961.935793908,78961.935794193,1.91732199996477
78962.78733204,78964.272454036,78962.787465558,78962.796713403,78964.259909329,78964.259909586,2.1113893750007264
78964.917760741,78966.31028237,78964.917895426,78964.927981689,78966.29632671,78966.29632704,2.2943167919875123
78967.210852253,78968.615763167,78967.210967487,78967.22103816,78968.600778735,78968.600779016,2.3091745410347357
78969.555618199,78970.995906787,78969.555688564,78969.567262031,78970.981156008,78970.981156375,2.380856000003405
78986.343770226,78987.337647839,78986.343879658,78986.352792403,78987.32790979,78987.327910023,1.677543625002727
78988.384342326,78989.566394103,78988.384416762,78988.386496831,78989.554737728,78989.554738136,1.7945188749581575
78990.496077955,78991.450216629,78990.496161664,78990.503821286,78991.439084051,78991.439084298,1.5865393329877406
78992.692505422,78993.732323642,78992.692576163,78992.694643971,78993.72154716,78993.721547446,1.7243032499682158
78994.753185813,78996.031446528,78994.753284698,78994.761293616,78996.019345235,78996.019345458,1.894669332948979
78996.887331314,78998.133216558,78996.887397618,78996.896485618,78998.120039851,78998.120040077,1.8666240000166
78999.045453061,79000.420070933,78999.045529026,78999.055259648,79000.406267361,79000.406267598,2.296504292055033
79001.39789715,79002.828777407,79001.397985096,79001.406759213,79002.811543382,79002.811543635,2.4119650830398314
79003.727593397,79005.185435307,79003.727649304,79003.738961159,79005.171285552,79005.171285748,2.3590852500055917
