request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time,server_processing_duration,total_network_latency
83450.19788531,83451.911513299,83450.200038643,83450.284083642,83451.901537319,83451.90153766,2.4337247500079684,1.7136279889964499,0.7200967610115185
83452.513981862,83453.409181918,83452.51408502,83452.521853023,83453.399527991,83453.399528188,1.497822375036776,0.8952000560093438,0.6026223190274322
83454.33296616,83455.324556994,83454.333041546,83454.340084344,83455.314659576,83455.314659782,1.594266250031069,0.9915908340044552,0.6026754160266137
83456.472278214,83457.572663301,83456.472332872,83456.479767985,83457.563327318,83457.563327636,1.7079244580236264,1.100385087003815,0.6075393710198114
83458.593924394,83459.851071117,83458.594091295,83458.601497933,83459.838936785,83459.838937123,1.8691308749839664,1.2571467230009148,0.6119841519830516
83460.732451533,83462.109990715,83460.732565862,83460.741205155,83462.096785568,83462.096785848,1.9930750000057742,1.377539182009059,0.6155358179967152
83462.868620829,83463.964471953,83462.868706557,83462.877036131,83463.951645635,83463.951645957,1.7193313750321977,1.0958511240023654,0.6234802510298323
83475.699932703,83476.87123637,83475.700054464,83475.707261105,83476.858390046,83476.858390345,1.7819908329984173,1.1713036669971189,0.6106871660012985
83477.833213318,83479.036422851,83477.833317777,83477.840684919,83479.024460983,83479.024461189,1.8125629589776509,1.2032095330068842,0.6093534259707667
83479.95841961,83481.31068895,83479.958488807,83479.960442621,83481.296623119,83481.296623385,1.9679077920154668,1.3522693400009302,0.6156384520145366
83482.076396589,83483.079051326,83482.076467135,83482.084679025,83483.065303035,83483.065303319,1.6137151250150055,1.0026547370071057,0.6110603880078997
83484.213706044,83485.378589322,83484.213759863,83484.222812013,83485.366291063,83485.366291341,1.777350916992873,1.1648832780047087,0.6124676389881643
83486.341412527,83487.519045533,83486.34155659,83486.344744862,83487.503705996,83487.503706296,2.0831290840287693,1.1776330059947213,0.905496078034048
83488.460192722,83489.61423788,83488.460345597,83488.470496491,83489.600439959,83489.600440163,2.0845265410025604,1.154045157993096,0.9304813830094645
83490.615262872,83491.769950085,83490.615337105,83490.62533512,83491.75405395,83491.754054241,2.065711500006728,1.1546872129983967,0.9110242870083312
83492.734837281,83493.995780166,83492.734918664,83492.7538318,83493.982125168,83493.982125535,2.1576828330289572,1.2609428850119002,0.896739948017057
83494.902100317,83496.293159332,83494.902232119,83494.938112281,83496.277491171,83496.277491389,2.302729332994204,1.391059014989878,0.911670318004326
83497.200501684,83498.700874384,83497.200569076,83497.242213301,83498.686034061,83498.686034307,2.4026113750296645,1.5003727000002982,0.9022386750293663
83499.644431359,83501.054770344,83499.644496126,83499.680623879,83501.036645335,83501.036645588,2.356027083005756,1.4103389849915402,0.9456880980142159
83501.952329757,83503.198715574,83501.95241933,83501.989144733,83503.184290301,83503.184290717,2.1466826659743674,1.2463858170085587,0.9002968489658087
83504.099073022,83505.328075655,83504.099188853,83504.134508494,83505.31209183,83505.312092065,2.129850291996263,1.2290026330010733,0.9008476589951897
83506.231746859,83507.502792401,83506.231827164,83506.26999561,83507.486256825,83507.48625706,2.171638458967209,1.271045542001957,0.9005929169652518
83508.399407272,83509.505854318,83508.399497539,83508.435939773,83509.490760164,83509.490760485,2.0045306669780985,1.1064470460114535,0.898083620966645
83516.316381185,83517.448346661,83516.316455029,83516.325987207,83517.433634532,83517.43363479,2.030987832986284,1.1319654760009144,0.8990223569853697
83518.443463897,83519.787980103,83518.44354827,83518.451976026,83519.770968197,83519.770968474,2.244868540961761,1.3445162060088478,0.9003523349529132
83520.683230235,83522.063106773,83520.683308702,83520.691615858,83522.045691537,83522.04569178,2.27356979198521,1.3798765380051918,0.8936932539800182
83522.962069622,83524.41837526,83522.962184431,83522.971493215,83524.403540606,83524.403540828,2.355424041976221,1.4563056379993213,0.8991184039768996
83525.313725528,83526.578368485,83525.313818929,83525.333751652,83526.561771635,83526.561771898,2.1595960830454715,1.2646429570013424,0.894953126044129
83527.510879328,83528.78593333,83527.510996423,83527.53981978,83528.771679259,83528.771679528,2.2115670000202954,1.2750540020060726,0.9365129980142228
83529.685398091,83530.858456863,83529.685485118,83529.723650619,83530.843155761,83530.843156022,2.0687739160493948,1.1730587720085168,0.8957151440408779
