Generation Length,Mean (ms),Std (ms),Sample Size,60% Upper Bound (ms),70% Upper Bound (ms),80% Upper Bound (ms),85% Upper Bound (ms),90% Upper Bound (ms),95% Upper Bound (ms),98% Upper Bound (ms),99% Upper Bound (ms),99.5% Upper Bound (ms),99.9% Upper Bound (ms),100% Upper Bound (ms)
1,54.31,39.57,200,58.28,59.46,60.69,62.30,63.77,68.51,70.99,82.45,427.62,427.62,427.62
2,67.07,27.41,200,62.74,64.12,67.71,71.30,79.12,88.64,91.78,94.55,325.71,325.71,325.71
3,93.37,44.08,200,86.71,87.42,92.79,95.99,101.69,112.83,131.53,138.00,518.98,518.98,518.98
4,119.13,45.50,200,110.31,111.73,117.38,119.77,137.14,148.64,159.18,169.36,553.01,553.01,553.01
5,141.40,47.30,200,131.73,134.04,140.33,145.01,156.49,171.30,191.21,207.16,589.87,589.87,589.87
6,169.18,40.79,200,161.56,165.36,179.14,183.48,187.98,209.85,237.79,253.34,526.29,526.29,526.29
7,189.49,31.42,200,180.31,186.32,191.41,205.01,212.46,231.39,247.72,256.28,453.35,453.35,453.35
8,217.08,50.57,200,206.31,214.76,226.17,230.51,237.03,249.31,304.54,310.36,675.14,675.14,675.14
10,263.01,61.13,200,252.77,261.59,274.42,277.50,281.60,315.99,333.10,363.82,827.26,827.26,827.26
12,312.60,45.35,200,300.39,314.30,325.16,335.21,342.51,376.26,397.21,446.17,672.94,672.94,672.94
14,372.17,49.21,200,368.16,379.92,392.52,410.56,427.39,435.30,480.39,486.89,722.86,722.86,722.86
16,418.41,63.17,200,409.52,417.88,425.71,432.88,458.51,499.35,561.62,577.29,928.49,928.49,928.49
