Generation Length,Mean (ms),Std (ms),Sample Size,60% Upper Bound (ms),70% Upper Bound (ms),80% Upper Bound (ms),85% Upper Bound (ms),90% Upper Bound (ms),95% Upper Bound (ms),98% Upper Bound (ms),99% Upper Bound (ms),99.5% Upper Bound (ms),99.9% Upper Bound (ms),100% Upper Bound (ms)
1,191.65,28.26,200,187.98,188.54,190.18,192.58,197.05,205.99,226.56,242.29,458.56,458.56,458.56
2,208.75,29.51,200,204.60,205.88,209.66,212.04,214.26,224.11,231.92,243.05,492.47,492.47,492.47
3,230.93,29.81,200,226.13,227.72,232.50,238.37,243.71,249.95,258.92,278.54,510.29,510.29,510.29
4,246.37,23.85,200,244.02,247.91,250.97,252.37,258.03,262.08,263.08,267.76,467.77,467.77,467.77
5,271.93,33.67,200,265.74,274.97,286.09,289.21,295.11,302.32,314.34,321.28,562.92,562.92,562.92
6,283.41,32.44,200,278.09,281.92,286.46,288.11,296.22,304.35,318.50,324.63,587.97,587.97,587.97
7,302.77,32.51,200,298.41,303.88,312.16,315.88,322.34,329.97,342.59,349.06,593.49,593.49,593.49
8,344.56,42.98,200,350.22,358.75,372.37,378.68,386.31,406.50,422.88,449.83,618.42,618.42,618.42
10,357.30,39.56,200,354.27,358.45,364.78,371.84,378.23,397.75,406.21,423.44,706.97,706.97,706.97
12,400.07,43.62,200,393.84,399.77,414.60,424.89,432.43,456.65,476.66,492.90,754.86,754.86,754.86
14,445.07,42.96,200,436.24,454.79,466.73,473.63,480.96,509.94,530.30,536.41,749.68,749.68,749.68
16,483.63,50.13,200,481.57,488.38,509.34,518.89,526.99,550.11,565.54,584.80,858.60,858.60,858.60
