Generation Length,Requests,Mean RTT (ms),Std RTT (ms),95% Upper Bound RTT (ms),99% Upper Bound RTT (ms),Mean Inference (ms),Notes Generated
1,200.0,191.7,28.3,206.0,242.3,24.4,0.1
2,200.0,208.7,29.5,224.1,243.0,42.1,0.1
3,200.0,230.9,29.8,249.9,278.5,58.0,0.3
4,200.0,246.4,23.8,262.1,267.8,74.4,0.2
5,200.0,271.9,33.7,302.3,321.3,98.0,0.3
6,200.0,283.4,32.4,304.4,324.6,110.1,0.4
7,200.0,302.8,32.5,330.0,349.1,128.6,0.5
8,200.0,344.6,43.0,406.5,449.8,169.8,0.5
10,200.0,357.3,39.6,397.7,423.4,186.3,0.6
12,200.0,400.1,43.6,456.6,492.9,227.6,0.6
14,200.0,445.1,43.0,509.9,536.4,270.1,0.8
16,200.0,483.6,50.1,550.1,584.8,308.7,1.1
