case,folder_id,sample_id,dataset_index,stem,source_folder,task_suitability_score
case01,01,0,347,6383897,01-0,0
case02,02,1,11661,69528,02-1,1
case03,03,2,15535,5967993,03-5,5
case04,04,3,3008,4805644,04-3,3
case05,05,4,16810,1948786,05-4,4
case06,06,5,13600,5346633,06-4,4
case07,07,6,1151,6107560,07-5,5
case08,08,7,4486,4809425,08-5,5
case09,09,8,10025,5889045,09-7,7
case10,10,9,2364,105118,10-3,3
case11,11,10,12741,5771100,11-5,5
case12,12,11,15527,5817083,12-6,6
case13,13,12,10030,332891,13-6,6
case14,14,13,10239,43038,14-6?,6?
case15,15,14,4887,5472153,15-7,7
case16,16,15,5899,5713648,16-6?,6?
case17,17,16,1207,3410421,17-7,7
case18,18,17,16430,2581346,18-7?,7?
case19,19,18,10461,6175749,19-6?,6?
