experiment_name,percentile,inference_interval_ticks,generation_length_ticks,generation_length_frames,constraint_status_code,constraint_status,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_constraints_satisfied
mac_latency_test,50.0,1,1,1,3,Both Violated,192.1986044908408,False,False,False
mac_latency_test,50.0,1,3,5,-1,No Data,265.92616649577394,False,False,False
mac_latency_test,50.0,1,5,9,1,C1 Violated,340.60512451105745,False,True,False
mac_latency_test,50.0,1,8,15,-1,No Data,505.6145210110117,False,False,False
mac_latency_test,50.0,2,1,1,2,C2 Violated,192.1986044908408,True,False,False
mac_latency_test,50.0,2,3,5,-1,No Data,265.92616649577394,False,False,False
mac_latency_test,50.0,2,5,9,1,C1 Violated,340.60512451105745,False,True,False
mac_latency_test,50.0,2,8,15,-1,No Data,505.6145210110117,False,False,False
mac_latency_test,50.0,3,1,1,2,C2 Violated,192.1986044908408,True,False,False
mac_latency_test,50.0,3,3,5,-1,No Data,265.92616649577394,False,False,False
mac_latency_test,50.0,3,5,9,2,C2 Violated,340.60512451105745,True,False,False
mac_latency_test,50.0,3,8,15,-1,No Data,505.6145210110117,False,False,False
mac_latency_test,50.0,4,1,1,2,C2 Violated,192.1986044908408,True,False,False
mac_latency_test,50.0,4,3,5,-1,No Data,265.92616649577394,False,False,False
mac_latency_test,50.0,4,5,9,2,C2 Violated,340.60512451105745,True,False,False
mac_latency_test,50.0,4,8,15,-1,No Data,505.6145210110117,False,False,False
mac_latency_test,50.0,5,1,1,2,C2 Violated,192.1986044908408,True,False,False
mac_latency_test,50.0,5,3,5,-1,No Data,265.92616649577394,False,False,False
mac_latency_test,50.0,5,5,9,2,C2 Violated,340.60512451105745,True,False,False
mac_latency_test,50.0,5,8,15,-1,No Data,505.6145210110117,False,False,False
mac_latency_test,50.0,6,1,1,2,C2 Violated,192.1986044908408,True,False,False
mac_latency_test,50.0,6,3,5,-1,No Data,265.92616649577394,False,False,False
mac_latency_test,50.0,6,5,9,2,C2 Violated,340.60512451105745,True,False,False
mac_latency_test,50.0,6,8,15,-1,No Data,505.6145210110117,False,False,False
mac_latency_test,50.0,7,1,1,2,C2 Violated,192.1986044908408,True,False,False
mac_latency_test,50.0,7,3,5,-1,No Data,265.92616649577394,False,False,False
mac_latency_test,50.0,7,5,9,2,C2 Violated,340.60512451105745,True,False,False
mac_latency_test,50.0,7,8,15,-1,No Data,505.6145210110117,False,False,False
mac_latency_test,60.0,1,1,1,3,Both Violated,192.7596669876948,False,False,False
mac_latency_test,60.0,1,3,5,-1,No Data,267.1250501996837,False,False,False
mac_latency_test,60.0,1,5,9,1,C1 Violated,342.12704964447767,False,True,False
mac_latency_test,60.0,1,8,15,-1,No Data,508.1776999752037,False,False,False
mac_latency_test,60.0,2,1,1,2,C2 Violated,192.7596669876948,True,False,False
mac_latency_test,60.0,2,3,5,-1,No Data,267.1250501996837,False,False,False
mac_latency_test,60.0,2,5,9,1,C1 Violated,342.12704964447767,False,True,False
mac_latency_test,60.0,2,8,15,-1,No Data,508.1776999752037,False,False,False
mac_latency_test,60.0,3,1,1,2,C2 Violated,192.7596669876948,True,False,False
mac_latency_test,60.0,3,3,5,-1,No Data,267.1250501996837,False,False,False
