experiment_name,generation_ticks,inference_interval,percentile,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_satisfied,constraint_status
local_gl_test,2.0,1,50,88.40004699595735,True,True,True,0
local_gl_test,2.0,1,70,89.3875862995628,True,True,True,0
local_gl_test,2.0,1,80,89.92380080017024,True,True,True,0
local_gl_test,2.0,1,90,98.00834439956809,True,True,True,0
local_gl_test,2.0,1,95,105.7830939473206,True,True,True,0
local_gl_test,2.0,1,99,119.68010887147098,True,True,True,0
local_gl_test,3.0,1,50,132.88078699770267,False,True,False,1
local_gl_test,3.0,1,70,133.5564300999976,False,True,False,1
local_gl_test,3.0,1,80,133.9112105968524,False,True,False,1
local_gl_test,3.0,1,90,140.2633795958536,False,True,False,1
local_gl_test,3.0,1,95,149.40192400499654,False,True,False,1
local_gl_test,3.0,1,99,163.67032361718884,False,True,False,1
local_gl_test,3.0,2,50,132.88078699770267,True,False,False,2
local_gl_test,3.0,2,70,133.5564300999976,True,False,False,2
local_gl_test,3.0,2,80,133.9112105968524,True,False,False,2
local_gl_test,3.0,2,90,140.2633795958536,True,False,False,2
local_gl_test,3.0,2,95,149.40192400499654,True,False,False,2
local_gl_test,3.0,2,99,163.67032361718884,True,False,False,2
local_gl_test,4.0,1,50,180.06329150011874,False,True,False,1
local_gl_test,4.0,1,70,180.84990709903647,False,True,False,1
local_gl_test,4.0,1,80,181.87181820394466,False,True,False,1
local_gl_test,4.0,1,90,190.33894559688633,False,True,False,1
local_gl_test,4.0,1,95,204.84219965510417,False,True,False,1
local_gl_test,4.0,1,99,216.43361181791974,False,True,False,1
local_gl_test,4.0,2,50,180.06329150011874,True,True,True,0
local_gl_test,4.0,2,70,180.84990709903647,True,True,True,0
local_gl_test,4.0,2,80,181.87181820394466,True,True,True,0
local_gl_test,4.0,2,90,190.33894559688633,True,True,True,0
local_gl_test,4.0,2,95,204.84219965510417,True,True,True,0
local_gl_test,4.0,2,99,216.43361181791974,True,True,True,0
local_gl_test,4.0,3,50,180.06329150011874,True,False,False,2
local_gl_test,4.0,3,70,180.84990709903647,True,False,False,2
local_gl_test,4.0,3,80,181.87181820394466,True,False,False,2
local_gl_test,4.0,3,90,190.33894559688633,True,False,False,2
local_gl_test,4.0,3,95,204.84219965510417,True,False,False,2
local_gl_test,4.0,3,99,216.43361181791974,True,False,False,2
local_gl_test,5.0,1,50,226.86103500382154,False,True,False,1
local_gl_test,5.0,1,70,227.86597739977876,False,True,False,1
local_gl_test,5.0,1,80,232.35995760041988,False,True,False,1
local_gl_test,5.0,1,90,244.86719350388734,False,True,False,1
local_gl_test,5.0,1,95,254.39172105543548,False,True,False,1
local_gl_test,5.0,1,99,263.48933882210986,False,True,False,1
local_gl_test,5.0,2,50,226.86103500382154,True,True,True,0
local_gl_test,5.0,2,70,227.86597739977876,True,True,True,0
local_gl_test,5.0,2,80,232.35995760041988,True,True,True,0
local_gl_test,5.0,2,90,244.86719350388734,True,True,True,0
local_gl_test,5.0,2,95,254.39172105543548,False,True,False,1
local_gl_test,5.0,2,99,263.48933882210986,False,True,False,1
local_gl_test,5.0,3,50,226.86103500382154,True,True,True,0
local_gl_test,5.0,3,70,227.86597739977876,True,True,True,0
local_gl_test,5.0,3,80,232.35995760041988,True,True,True,0
local_gl_test,5.0,3,90,244.86719350388734,True,True,True,0
local_gl_test,5.0,3,95,254.39172105543548,True,False,False,2
local_gl_test,5.0,3,99,263.48933882210986,True,False,False,2
local_gl_test,5.0,4,50,226.86103500382154,True,False,False,2
local_gl_test,5.0,4,70,227.86597739977876,True,False,False,2
local_gl_test,5.0,4,80,232.35995760041988,True,False,False,2
