experiment_name,percentile,inference_interval_ticks,generation_length_ticks,generation_length_frames,constraint_status_code,constraint_status,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_constraints_satisfied
local_gl_test,50.0,1,1,1,2,C2 Violated,54.621812501864,True,False,False
local_gl_test,50.0,1,2,3,0,Valid,88.40004699595735,True,True,True
local_gl_test,50.0,1,3,5,1,C1 Violated,132.88078699770267,False,True,False
local_gl_test,50.0,1,4,7,1,C1 Violated,180.06329150011874,False,True,False
local_gl_test,50.0,1,5,9,1,C1 Violated,226.86103500382154,False,True,False
local_gl_test,50.0,1,6,11,1,C1 Violated,273.34216400049627,False,True,False
local_gl_test,50.0,1,7,13,1,C1 Violated,319.9507120007183,False,True,False
local_gl_test,50.0,1,8,15,1,C1 Violated,365.9735129986075,False,True,False
local_gl_test,50.0,2,1,1,2,C2 Violated,54.621812501864,True,False,False
local_gl_test,50.0,2,2,3,2,C2 Violated,88.40004699595735,True,False,False
local_gl_test,50.0,2,3,5,2,C2 Violated,132.88078699770267,True,False,False
local_gl_test,50.0,2,4,7,0,Valid,180.06329150011874,True,True,True
local_gl_test,50.0,2,5,9,0,Valid,226.86103500382154,True,True,True
local_gl_test,50.0,2,6,11,1,C1 Violated,273.34216400049627,False,True,False
local_gl_test,50.0,2,7,13,1,C1 Violated,319.9507120007183,False,True,False
local_gl_test,50.0,2,8,15,1,C1 Violated,365.9735129986075,False,True,False
local_gl_test,50.0,3,1,1,2,C2 Violated,54.621812501864,True,False,False
local_gl_test,50.0,3,2,3,2,C2 Violated,88.40004699595735,True,False,False
local_gl_test,50.0,3,3,5,2,C2 Violated,132.88078699770267,True,False,False
local_gl_test,50.0,3,4,7,2,C2 Violated,180.06329150011874,True,False,False
local_gl_test,50.0,3,5,9,0,Valid,226.86103500382154,True,True,True
local_gl_test,50.0,3,6,11,0,Valid,273.34216400049627,True,True,True
local_gl_test,50.0,3,7,13,0,Valid,319.9507120007183,True,True,True
local_gl_test,50.0,3,8,15,0,Valid,365.9735129986075,True,True,True
local_gl_test,50.0,4,1,1,2,C2 Violated,54.621812501864,True,False,False
local_gl_test,50.0,4,2,3,2,C2 Violated,88.40004699595735,True,False,False
local_gl_test,50.0,4,3,5,2,C2 Violated,132.88078699770267,True,False,False
local_gl_test,50.0,4,4,7,2,C2 Violated,180.06329150011874,True,False,False
local_gl_test,50.0,4,5,9,2,C2 Violated,226.86103500382154,True,False,False
local_gl_test,50.0,4,6,11,2,C2 Violated,273.34216400049627,True,False,False
local_gl_test,50.0,4,7,13,0,Valid,319.9507120007183,True,True,True
local_gl_test,50.0,4,8,15,0,Valid,365.9735129986075,True,True,True
local_gl_test,50.0,5,1,1,2,C2 Violated,54.621812501864,True,False,False
local_gl_test,50.0,5,2,3,2,C2 Violated,88.40004699595735,True,False,False
local_gl_test,50.0,5,3,5,2,C2 Violated,132.88078699770267,True,False,False
local_gl_test,50.0,5,4,7,2,C2 Violated,180.06329150011874,True,False,False
local_gl_test,50.0,5,5,9,2,C2 Violated,226.86103500382154,True,False,False
local_gl_test,50.0,5,6,11,2,C2 Violated,273.34216400049627,True,False,False
local_gl_test,50.0,5,7,13,2,C2 Violated,319.9507120007183,True,False,False
local_gl_test,50.0,5,8,15,0,Valid,365.9735129986075,True,True,True
local_gl_test,50.0,6,1,1,2,C2 Violated,54.621812501864,True,False,False
local_gl_test,50.0,6,2,3,2,C2 Violated,88.40004699595735,True,False,False
local_gl_test,50.0,6,3,5,2,C2 Violated,132.88078699770267,True,False,False
local_gl_test,50.0,6,4,7,2,C2 Violated,180.06329150011874,True,False,False
local_gl_test,50.0,6,5,9,2,C2 Violated,226.86103500382154,True,False,False
local_gl_test,50.0,6,6,11,2,C2 Violated,273.34216400049627,True,False,False
local_gl_test,50.0,6,7,13,2,C2 Violated,319.9507120007183,True,False,False
local_gl_test,50.0,6,8,15,2,C2 Violated,365.9735129986075,True,False,False
local_gl_test,50.0,7,1,1,2,C2 Violated,54.621812501864,True,False,False
local_gl_test,50.0,7,2,3,2,C2 Violated,88.40004699595735,True,False,False
local_gl_test,50.0,7,3,5,2,C2 Violated,132.88078699770267,True,False,False
local_gl_test,50.0,7,4,7,2,C2 Violated,180.06329150011874,True,False,False
local_gl_test,50.0,7,5,9,2,C2 Violated,226.86103500382154,True,False,False
local_gl_test,50.0,7,6,11,2,C2 Violated,273.34216400049627,True,False,False
local_gl_test,50.0,7,7,13,2,C2 Violated,319.9507120007183,True,False,False
local_gl_test,50.0,7,8,15,2,C2 Violated,365.9735129986075,True,False,False
local_gl_test,60.0,1,1,1,2,C2 Violated,55.15782639995448,True,False,False
local_gl_test,60.0,1,2,3,0,Valid,88.86932619789141,True,True,True
local_gl_test,60.0,1,3,5,1,C1 Violated,133.28243559808462,False,True,False
local_gl_test,60.0,1,4,7,1,C1 Violated,180.39646320248718,False,True,False
local_gl_test,60.0,1,5,9,1,C1 Violated,227.2808868030551,False,True,False
local_gl_test,60.0,1,6,11,1,C1 Violated,273.9385853987187,False,True,False
local_gl_test,60.0,1,7,13,1,C1 Violated,320.7684749970212,False,True,False
local_gl_test,60.0,1,8,15,1,C1 Violated,367.01990580040723,False,True,False
local_gl_test,60.0,2,1,1,2,C2 Violated,55.15782639995448,True,False,False
local_gl_test,60.0,2,2,3,2,C2 Violated,88.86932619789141,True,False,False
local_gl_test,60.0,2,3,5,2,C2 Violated,133.28243559808462,True,False,False
local_gl_test,60.0,2,4,7,0,Valid,180.39646320248718,True,True,True
local_gl_test,60.0,2,5,9,0,Valid,227.2808868030551,True,True,True
local_gl_test,60.0,2,6,11,1,C1 Violated,273.9385853987187,False,True,False
local_gl_test,60.0,2,7,13,1,C1 Violated,320.7684749970212,False,True,False
local_gl_test,60.0,2,8,15,1,C1 Violated,367.01990580040723,False,True,False
local_gl_test,60.0,3,1,1,2,C2 Violated,55.15782639995448,True,False,False
local_gl_test,60.0,3,2,3,2,C2 Violated,88.86932619789141,True,False,False
local_gl_test,60.0,3,3,5,2,C2 Violated,133.28243559808462,True,False,False
local_gl_test,60.0,3,4,7,2,C2 Violated,180.39646320248718,True,False,False
local_gl_test,60.0,3,5,9,0,Valid,227.2808868030551,True,True,True
local_gl_test,60.0,3,6,11,0,Valid,273.9385853987187,True,True,True
local_gl_test,60.0,3,7,13,0,Valid,320.7684749970212,True,True,True
local_gl_test,60.0,3,8,15,0,Valid,367.01990580040723,True,True,True
local_gl_test,60.0,4,1,1,2,C2 Violated,55.15782639995448,True,False,False
local_gl_test,60.0,4,2,3,2,C2 Violated,88.86932619789141,True,False,False
local_gl_test,60.0,4,3,5,2,C2 Violated,133.28243559808462,True,False,False
local_gl_test,60.0,4,4,7,2,C2 Violated,180.39646320248718,True,False,False
local_gl_test,60.0,4,5,9,2,C2 Violated,227.2808868030551,True,False,False
local_gl_test,60.0,4,6,11,2,C2 Violated,273.9385853987187,True,False,False
local_gl_test,60.0,4,7,13,0,Valid,320.7684749970212,True,True,True
local_gl_test,60.0,4,8,15,0,Valid,367.01990580040723,True,True,True
local_gl_test,60.0,5,1,1,2,C2 Violated,55.15782639995448,True,False,False
local_gl_test,60.0,5,2,3,2,C2 Violated,88.86932619789141,True,False,False
local_gl_test,60.0,5,3,5,2,C2 Violated,133.28243559808462,True,False,False
local_gl_test,60.0,5,4,7,2,C2 Violated,180.39646320248718,True,False,False
local_gl_test,60.0,5,5,9,2,C2 Violated,227.2808868030551,True,False,False
local_gl_test,60.0,5,6,11,2,C2 Violated,273.9385853987187,True,False,False
local_gl_test,60.0,5,7,13,2,C2 Violated,320.7684749970212,True,False,False
local_gl_test,60.0,5,8,15,0,Valid,367.01990580040723,True,True,True
local_gl_test,60.0,6,1,1,2,C2 Violated,55.15782639995448,True,False,False
local_gl_test,60.0,6,2,3,2,C2 Violated,88.86932619789141,True,False,False
local_gl_test,60.0,6,3,5,2,C2 Violated,133.28243559808462,True,False,False
local_gl_test,60.0,6,4,7,2,C2 Violated,180.39646320248718,True,False,False
local_gl_test,60.0,6,5,9,2,C2 Violated,227.2808868030551,True,False,False
local_gl_test,60.0,6,6,11,2,C2 Violated,273.9385853987187,True,False,False
local_gl_test,60.0,6,7,13,2,C2 Violated,320.7684749970212,True,False,False
local_gl_test,60.0,6,8,15,2,C2 Violated,367.01990580040723,True,False,False
local_gl_test,60.0,7,1,1,2,C2 Violated,55.15782639995448,True,False,False
local_gl_test,60.0,7,2,3,2,C2 Violated,88.86932619789141,True,False,False
local_gl_test,60.0,7,3,5,2,C2 Violated,133.28243559808462,True,False,False
local_gl_test,60.0,7,4,7,2,C2 Violated,180.39646320248718,True,False,False
local_gl_test,60.0,7,5,9,2,C2 Violated,227.2808868030551,True,False,False
local_gl_test,60.0,7,6,11,2,C2 Violated,273.9385853987187,True,False,False
local_gl_test,60.0,7,7,13,2,C2 Violated,320.7684749970212,True,False,False
local_gl_test,60.0,7,8,15,2,C2 Violated,367.01990580040723,True,False,False
local_gl_test,70.0,1,1,1,2,C2 Violated,55.67096689919701,True,False,False
local_gl_test,70.0,1,2,3,0,Valid,89.3875862995628,True,True,True
local_gl_test,70.0,1,3,5,1,C1 Violated,133.5564300999976,False,True,False
local_gl_test,70.0,1,4,7,1,C1 Violated,180.84990709903647,False,True,False
local_gl_test,70.0,1,5,9,1,C1 Violated,227.86597739977876,False,True,False
local_gl_test,70.0,1,6,11,1,C1 Violated,275.11543030341267,False,True,False
local_gl_test,70.0,1,7,13,1,C1 Violated,322.5639912016049,False,True,False
local_gl_test,70.0,1,8,15,1,C1 Violated,368.63033999616164,False,True,False
local_gl_test,70.0,2,1,1,2,C2 Violated,55.67096689919701,True,False,False
local_gl_test,70.0,2,2,3,2,C2 Violated,89.3875862995628,True,False,False
local_gl_test,70.0,2,3,5,2,C2 Violated,133.5564300999976,True,False,False
local_gl_test,70.0,2,4,7,0,Valid,180.84990709903647,True,True,True
local_gl_test,70.0,2,5,9,0,Valid,227.86597739977876,True,True,True
local_gl_test,70.0,2,6,11,1,C1 Violated,275.11543030341267,False,True,False
local_gl_test,70.0,2,7,13,1,C1 Violated,322.5639912016049,False,True,False
local_gl_test,70.0,2,8,15,1,C1 Violated,368.63033999616164,False,True,False
local_gl_test,70.0,3,1,1,2,C2 Violated,55.67096689919701,True,False,False
local_gl_test,70.0,3,2,3,2,C2 Violated,89.3875862995628,True,False,False
local_gl_test,70.0,3,3,5,2,C2 Violated,133.5564300999976,True,False,False
local_gl_test,70.0,3,4,7,2,C2 Violated,180.84990709903647,True,False,False
local_gl_test,70.0,3,5,9,0,Valid,227.86597739977876,True,True,True
local_gl_test,70.0,3,6,11,0,Valid,275.11543030341267,True,True,True
local_gl_test,70.0,3,7,13,0,Valid,322.5639912016049,True,True,True
local_gl_test,70.0,3,8,15,0,Valid,368.63033999616164,True,True,True
local_gl_test,70.0,4,1,1,2,C2 Violated,55.67096689919701,True,False,False
local_gl_test,70.0,4,2,3,2,C2 Violated,89.3875862995628,True,False,False
local_gl_test,70.0,4,3,5,2,C2 Violated,133.5564300999976,True,False,False
local_gl_test,70.0,4,4,7,2,C2 Violated,180.84990709903647,True,False,False
local_gl_test,70.0,4,5,9,2,C2 Violated,227.86597739977876,True,False,False
local_gl_test,70.0,4,6,11,2,C2 Violated,275.11543030341267,True,False,False
local_gl_test,70.0,4,7,13,0,Valid,322.5639912016049,True,True,True
local_gl_test,70.0,4,8,15,0,Valid,368.63033999616164,True,True,True
local_gl_test,70.0,5,1,1,2,C2 Violated,55.67096689919701,True,False,False
local_gl_test,70.0,5,2,3,2,C2 Violated,89.3875862995628,True,False,False
local_gl_test,70.0,5,3,5,2,C2 Violated,133.5564300999976,True,False,False
local_gl_test,70.0,5,4,7,2,C2 Violated,180.84990709903647,True,False,False
local_gl_test,70.0,5,5,9,2,C2 Violated,227.86597739977876,True,False,False
local_gl_test,70.0,5,6,11,2,C2 Violated,275.11543030341267,True,False,False
local_gl_test,70.0,5,7,13,2,C2 Violated,322.5639912016049,True,False,False
local_gl_test,70.0,5,8,15,0,Valid,368.63033999616164,True,True,True
local_gl_test,70.0,6,1,1,2,C2 Violated,55.67096689919701,True,False,False
local_gl_test,70.0,6,2,3,2,C2 Violated,89.3875862995628,True,False,False
local_gl_test,70.0,6,3,5,2,C2 Violated,133.5564300999976,True,False,False
local_gl_test,70.0,6,4,7,2,C2 Violated,180.84990709903647,True,False,False
local_gl_test,70.0,6,5,9,2,C2 Violated,227.86597739977876,True,False,False
local_gl_test,70.0,6,6,11,2,C2 Violated,275.11543030341267,True,False,False
local_gl_test,70.0,6,7,13,2,C2 Violated,322.5639912016049,True,False,False
local_gl_test,70.0,6,8,15,2,C2 Violated,368.63033999616164,True,False,False
local_gl_test,70.0,7,1,1,2,C2 Violated,55.67096689919701,True,False,False
local_gl_test,70.0,7,2,3,2,C2 Violated,89.3875862995628,True,False,False
local_gl_test,70.0,7,3,5,2,C2 Violated,133.5564300999976,True,False,False
local_gl_test,70.0,7,4,7,2,C2 Violated,180.84990709903647,True,False,False
local_gl_test,70.0,7,5,9,2,C2 Violated,227.86597739977876,True,False,False
local_gl_test,70.0,7,6,11,2,C2 Violated,275.11543030341267,True,False,False
local_gl_test,70.0,7,7,13,2,C2 Violated,322.5639912016049,True,False,False
local_gl_test,70.0,7,8,15,2,C2 Violated,368.63033999616164,True,False,False
local_gl_test,80.0,1,1,1,2,C2 Violated,56.81999960215758,True,False,False
local_gl_test,80.0,1,2,3,0,Valid,89.92380080017024,True,True,True
local_gl_test,80.0,1,3,5,1,C1 Violated,133.9112105968524,False,True,False
local_gl_test,80.0,1,4,7,1,C1 Violated,181.87181820394466,False,True,False
local_gl_test,80.0,1,5,9,1,C1 Violated,232.35995760041988,False,True,False
local_gl_test,80.0,1,6,11,1,C1 Violated,282.1048820027499,False,True,False
local_gl_test,80.0,1,7,13,1,C1 Violated,329.5060076008667,False,True,False
local_gl_test,80.0,1,8,15,1,C1 Violated,376.2556351968669,False,True,False
local_gl_test,80.0,2,1,1,2,C2 Violated,56.81999960215758,True,False,False
local_gl_test,80.0,2,2,3,2,C2 Violated,89.92380080017024,True,False,False
local_gl_test,80.0,2,3,5,2,C2 Violated,133.9112105968524,True,False,False
local_gl_test,80.0,2,4,7,0,Valid,181.87181820394466,True,True,True
local_gl_test,80.0,2,5,9,0,Valid,232.35995760041988,True,True,True
local_gl_test,80.0,2,6,11,1,C1 Violated,282.1048820027499,False,True,False
local_gl_test,80.0,2,7,13,1,C1 Violated,329.5060076008667,False,True,False
local_gl_test,80.0,2,8,15,1,C1 Violated,376.2556351968669,False,True,False
local_gl_test,80.0,3,1,1,2,C2 Violated,56.81999960215758,True,False,False
local_gl_test,80.0,3,2,3,2,C2 Violated,89.92380080017024,True,False,False
local_gl_test,80.0,3,3,5,2,C2 Violated,133.9112105968524,True,False,False
local_gl_test,80.0,3,4,7,2,C2 Violated,181.87181820394466,True,False,False
local_gl_test,80.0,3,5,9,0,Valid,232.35995760041988,True,True,True
local_gl_test,80.0,3,6,11,0,Valid,282.1048820027499,True,True,True
local_gl_test,80.0,3,7,13,0,Valid,329.5060076008667,True,True,True
local_gl_test,80.0,3,8,15,1,C1 Violated,376.2556351968669,False,True,False
local_gl_test,80.0,4,1,1,2,C2 Violated,56.81999960215758,True,False,False
local_gl_test,80.0,4,2,3,2,C2 Violated,89.92380080017024,True,False,False
local_gl_test,80.0,4,3,5,2,C2 Violated,133.9112105968524,True,False,False
local_gl_test,80.0,4,4,7,2,C2 Violated,181.87181820394466,True,False,False
local_gl_test,80.0,4,5,9,2,C2 Violated,232.35995760041988,True,False,False
local_gl_test,80.0,4,6,11,2,C2 Violated,282.1048820027499,True,False,False
local_gl_test,80.0,4,7,13,0,Valid,329.5060076008667,True,True,True
local_gl_test,80.0,4,8,15,0,Valid,376.2556351968669,True,True,True
local_gl_test,80.0,5,1,1,2,C2 Violated,56.81999960215758,True,False,False
local_gl_test,80.0,5,2,3,2,C2 Violated,89.92380080017024,True,False,False
local_gl_test,80.0,5,3,5,2,C2 Violated,133.9112105968524,True,False,False
local_gl_test,80.0,5,4,7,2,C2 Violated,181.87181820394466,True,False,False
local_gl_test,80.0,5,5,9,2,C2 Violated,232.35995760041988,True,False,False
local_gl_test,80.0,5,6,11,2,C2 Violated,282.1048820027499,True,False,False
local_gl_test,80.0,5,7,13,2,C2 Violated,329.5060076008667,True,False,False
local_gl_test,80.0,5,8,15,2,C2 Violated,376.2556351968669,True,False,False
local_gl_test,80.0,6,1,1,2,C2 Violated,56.81999960215758,True,False,False
local_gl_test,80.0,6,2,3,2,C2 Violated,89.92380080017024,True,False,False
local_gl_test,80.0,6,3,5,2,C2 Violated,133.9112105968524,True,False,False
local_gl_test,80.0,6,4,7,2,C2 Violated,181.87181820394466,True,False,False
local_gl_test,80.0,6,5,9,2,C2 Violated,232.35995760041988,True,False,False
local_gl_test,80.0,6,6,11,2,C2 Violated,282.1048820027499,True,False,False
local_gl_test,80.0,6,7,13,2,C2 Violated,329.5060076008667,True,False,False
local_gl_test,80.0,6,8,15,2,C2 Violated,376.2556351968669,True,False,False
local_gl_test,80.0,7,1,1,2,C2 Violated,56.81999960215758,True,False,False
local_gl_test,80.0,7,2,3,2,C2 Violated,89.92380080017024,True,False,False
local_gl_test,80.0,7,3,5,2,C2 Violated,133.9112105968524,True,False,False
local_gl_test,80.0,7,4,7,2,C2 Violated,181.87181820394466,True,False,False
local_gl_test,80.0,7,5,9,2,C2 Violated,232.35995760041988,True,False,False
local_gl_test,80.0,7,6,11,2,C2 Violated,282.1048820027499,True,False,False
local_gl_test,80.0,7,7,13,2,C2 Violated,329.5060076008667,True,False,False
local_gl_test,80.0,7,8,15,2,C2 Violated,376.2556351968669,True,False,False
local_gl_test,90.0,1,1,1,2,C2 Violated,58.82932490349041,True,False,False
local_gl_test,90.0,1,2,3,0,Valid,98.00834439956809,True,True,True
local_gl_test,90.0,1,3,5,1,C1 Violated,140.2633795958536,False,True,False
local_gl_test,90.0,1,4,7,1,C1 Violated,190.33894559688633,False,True,False
local_gl_test,90.0,1,5,9,1,C1 Violated,244.86719350388734,False,True,False
local_gl_test,90.0,1,6,11,1,C1 Violated,298.7415468953258,False,True,False
local_gl_test,90.0,1,7,13,1,C1 Violated,346.1129672992683,False,True,False
local_gl_test,90.0,1,8,15,1,C1 Violated,391.2532769012614,False,True,False
local_gl_test,90.0,2,1,1,2,C2 Violated,58.82932490349041,True,False,False
local_gl_test,90.0,2,2,3,2,C2 Violated,98.00834439956809,True,False,False
local_gl_test,90.0,2,3,5,2,C2 Violated,140.2633795958536,True,False,False
local_gl_test,90.0,2,4,7,0,Valid,190.33894559688633,True,True,True
local_gl_test,90.0,2,5,9,0,Valid,244.86719350388734,True,True,True
local_gl_test,90.0,2,6,11,1,C1 Violated,298.7415468953258,False,True,False
local_gl_test,90.0,2,7,13,1,C1 Violated,346.1129672992683,False,True,False
local_gl_test,90.0,2,8,15,1,C1 Violated,391.2532769012614,False,True,False
local_gl_test,90.0,3,1,1,2,C2 Violated,58.82932490349041,True,False,False
local_gl_test,90.0,3,2,3,2,C2 Violated,98.00834439956809,True,False,False
local_gl_test,90.0,3,3,5,2,C2 Violated,140.2633795958536,True,False,False
local_gl_test,90.0,3,4,7,2,C2 Violated,190.33894559688633,True,False,False
local_gl_test,90.0,3,5,9,0,Valid,244.86719350388734,True,True,True
local_gl_test,90.0,3,6,11,0,Valid,298.7415468953258,True,True,True
local_gl_test,90.0,3,7,13,0,Valid,346.1129672992683,True,True,True
local_gl_test,90.0,3,8,15,1,C1 Violated,391.2532769012614,False,True,False
local_gl_test,90.0,4,1,1,2,C2 Violated,58.82932490349041,True,False,False
local_gl_test,90.0,4,2,3,2,C2 Violated,98.00834439956809,True,False,False
local_gl_test,90.0,4,3,5,2,C2 Violated,140.2633795958536,True,False,False
local_gl_test,90.0,4,4,7,2,C2 Violated,190.33894559688633,True,False,False
local_gl_test,90.0,4,5,9,2,C2 Violated,244.86719350388734,True,False,False
local_gl_test,90.0,4,6,11,2,C2 Violated,298.7415468953258,True,False,False
local_gl_test,90.0,4,7,13,0,Valid,346.1129672992683,True,True,True
local_gl_test,90.0,4,8,15,0,Valid,391.2532769012614,True,True,True
local_gl_test,90.0,5,1,1,2,C2 Violated,58.82932490349041,True,False,False
local_gl_test,90.0,5,2,3,2,C2 Violated,98.00834439956809,True,False,False
local_gl_test,90.0,5,3,5,2,C2 Violated,140.2633795958536,True,False,False
local_gl_test,90.0,5,4,7,2,C2 Violated,190.33894559688633,True,False,False
local_gl_test,90.0,5,5,9,2,C2 Violated,244.86719350388734,True,False,False
local_gl_test,90.0,5,6,11,2,C2 Violated,298.7415468953258,True,False,False
local_gl_test,90.0,5,7,13,2,C2 Violated,346.1129672992683,True,False,False
local_gl_test,90.0,5,8,15,2,C2 Violated,391.2532769012614,True,False,False
local_gl_test,90.0,6,1,1,2,C2 Violated,58.82932490349041,True,False,False
local_gl_test,90.0,6,2,3,2,C2 Violated,98.00834439956809,True,False,False
local_gl_test,90.0,6,3,5,2,C2 Violated,140.2633795958536,True,False,False
local_gl_test,90.0,6,4,7,2,C2 Violated,190.33894559688633,True,False,False
local_gl_test,90.0,6,5,9,2,C2 Violated,244.86719350388734,True,False,False
local_gl_test,90.0,6,6,11,2,C2 Violated,298.7415468953258,True,False,False
local_gl_test,90.0,6,7,13,2,C2 Violated,346.1129672992683,True,False,False
local_gl_test,90.0,6,8,15,2,C2 Violated,391.2532769012614,True,False,False
local_gl_test,90.0,7,1,1,2,C2 Violated,58.82932490349041,True,False,False
local_gl_test,90.0,7,2,3,2,C2 Violated,98.00834439956809,True,False,False
local_gl_test,90.0,7,3,5,2,C2 Violated,140.2633795958536,True,False,False
local_gl_test,90.0,7,4,7,2,C2 Violated,190.33894559688633,True,False,False
local_gl_test,90.0,7,5,9,2,C2 Violated,244.86719350388734,True,False,False
local_gl_test,90.0,7,6,11,2,C2 Violated,298.7415468953258,True,False,False
local_gl_test,90.0,7,7,13,2,C2 Violated,346.1129672992683,True,False,False
local_gl_test,90.0,7,8,15,2,C2 Violated,391.2532769012614,True,False,False
local_gl_test,99.5,1,1,1,2,C2 Violated,82.71338677375743,True,False,False
local_gl_test,99.5,1,2,3,0,Valid,121.05371441110029,True,True,True
local_gl_test,99.5,1,3,5,1,C1 Violated,166.55583162424588,False,True,False
local_gl_test,99.5,1,4,7,1,C1 Violated,233.96179874172955,False,True,False
local_gl_test,99.5,1,5,9,1,C1 Violated,274.06314749430743,False,True,False
local_gl_test,99.5,1,6,11,1,C1 Violated,335.66753727802273,False,True,False
local_gl_test,99.5,1,7,13,1,C1 Violated,396.2044221956966,False,True,False
local_gl_test,99.5,1,8,15,1,C1 Violated,435.276972799329,False,True,False
local_gl_test,99.5,2,1,1,2,C2 Violated,82.71338677375743,True,False,False
local_gl_test,99.5,2,2,3,2,C2 Violated,121.05371441110029,True,False,False
local_gl_test,99.5,2,3,5,2,C2 Violated,166.55583162424588,True,False,False
local_gl_test,99.5,2,4,7,0,Valid,233.96179874172955,True,True,True
