"order","style","id","title","creator","role","xml_time_signatures","npz_path","xml_path","first8_onset_note_count","first8_distinct_onset_count","chord_onset_ratio","polyphonic_active_ratio","peak_onsets_per_beat","min_ioi_beats","large_leap_gt7_ratio","robust_pitch_range","risk_flags","selection_status","keep","comments"
"1","classical","6154808","""Fur Elise""","Ludwig van Beethoven | (arr. by Free MusicKey)","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/6154808.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/6154808.musicxml","12","12","0.0","0.0","1.5","0.5","0.14457831325301204","12.0","","provisional_review","",""
"2","classical","5610221","Rondo Alla Turca","Mozart","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/5610221.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/5610221.musicxml","10","10","0.0","0.0","1.625","0.5","0.0","14.0","","provisional_review","",""
"3","classical","4240641","Prelude in C Major BWV 846","J.S. Bach","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/4240641.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/4240641.musicxml","24","24","0.0024630541871921183","0.03800475059382423","3.125","0.25","0.25679012345679014","21.0","high_large_leap_rate","provisional_review","",""
"4","classical","110272","Piano Sonata No. 16 in C Major (K 545)","W.A. Mozart","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/110272.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/110272.musicxml","7","7","0.10252365930599369","0.08907741251325557","4.0","0.25","0.07266982622432859","20.0","","provisional_review","",""
"5","classical","4892542","Nocturne","Frederic Chopin | Frédéric Chopin | Op. 55, No. 1","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/4892542.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/4892542.musicxml","9","9","0.12341772151898735","0.24434087882822902","3.75","0.25","0.11251980982567353","31.0","wide_pitch_range","provisional_review","",""
"6","pop_contemporary","149761","Someone like you","Adele","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/149761.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/149761.musicxml","16","16","0.0","0.0","2.0","0.5","0.0","13.0","","provisional_review","",""
"7","pop_contemporary","2757411","River Flows in You","Yiruma","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/2757411.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/2757411.musicxml","10","10","0.005277044854881266","0.016304347826086956","3.0","0.25","0.05291005291005291","17.0","","provisional_review","",""
"8","pop_contemporary","5120186","Let It Be","Reed Ballus | John Lennon & Paul McCartney","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/5120186.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/5120186.musicxml","29","9","0.16953316953316952","0.19340159271899887","2.875","0.25","0.029556650246305417","22.0","","provisional_review","",""
"9","pop_contemporary","5578678","Clocks","Coldplay","retained_from_v1","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/5578678.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/5578678.musicxml","16","16","0.04081632653061224","0.1797752808988764","2.0","0.5","0.08247422680412371","10.0","","provisional_review","",""
"10","pop_contemporary","1151366","Yesterday","John Lennon & Paul Mc Cartney","new_v2_candidate","4/4","/data/home/yuanxin/data/allxml_npz_dual_track_optimized_no_underscore/1151366.npz","/data/home/yuanxin/data/allxml_xml/allxml_npz_dual_track_optimized_no_underscore_xml/1151366.musicxml","32","16","0.17391304347826086","0.18290258449304175","2.0","0.5","0.021897810218978103","19.0","","provisional_review","",""
